,code,name
0,BK1036,半导体
1,BK1039,电子化学品
2,BK1040,中药
3,BK0477,酿酒行业
4,BK1041,医疗器械
5,BK1037,消费电子
6,BK0465,化学制药
7,BK1038,光学光电子
8,BK0459,电子元件
9,BK0458,仪器仪表
10,BK0438,食品饮料
11,BK0456,家电行业
12,BK1044,生物制品
13,BK0433,农牧饲渔
14,BK0727,医疗服务
15,BK0910,专用设备
16,BK1035,美容护理
17,BK0454,塑料制品
18,BK0730,农药兽药
19,BK0480,航天航空
20,BK0485,旅游酒店
21,BK0735,计算机设备
22,BK0471,化纤行业
23,BK0538,化学制品
24,BK0545,通用设备
25,BK1033,电池
26,BK0470,造纸印刷
27,BK0420,航空机场
28,BK1018,橡胶制品
29,BK0478,有色金属
30,BK0546,玻璃玻纤
31,BK0736,通信服务
32,BK1034,电源设备
33,BK0440,家用轻工
34,BK0737,软件开发
35,BK0481,汽车零部件
36,BK1019,化学原料
37,BK1030,电机
38,BK0476,装修建材
39,BK0539,综合行业
40,BK1027,小金属
41,BK1016,汽车服务
42,BK1028,燃气
43,BK1032,风电设备
44,BK0448,通信设备
45,BK0436,纺织服装
46,BK1031,光伏设备
47,BK0429,交运设备
48,BK0457,电网设备
49,BK0739,工程机械
50,BK0447,互联网服务
51,BK0479,钢铁行业
52,BK0728,环保行业
53,BK1029,汽车整车
54,BK0725,装修装饰
55,BK0437,煤炭行业
56,BK0482,商业百货
57,BK0464,石油行业
58,BK0428,电力行业
59,BK0422,物流行业
60,BK0450,航运港口
61,BK0421,铁路公路
62,BK0425,工程建设
63,BK0424,水泥建材
64,BK0475,银行
65,BK1046,游戏
66,BK0473,证券
67,BK0738,多元金融
68,BK0451,房地产开发
69,BK0486,文化传媒
70,BK0729,船舶制造
71,BK0740,教育
72,BK1137,存储芯片
73,BK0969,汽车芯片
74,BK0901,3D摄像头
75,BK0947,屏下摄像
76,BK0935,中芯概念
77,BK0902,MiniLED
78,BK0884,光刻胶
79,BK1073,啤酒概念
80,BK1101,Chiplet概念
81,BK0641,智能穿戴
82,BK0893,无线耳机
83,BK0917,半导体概念
84,BK0841,体外诊断
85,BK0865,电子烟
86,BK0891,国产芯片
87,BK0905,传感器
88,BK0976,被动元件
89,BK0580,LED
90,BK0952,第三代半导体
91,BK1007,植物照明
92,BK0615,中药概念
93,BK0998,机器视觉
94,BK0877,PCB
95,BK0806,精准医疗
96,BK1048,IGBT概念
97,BK0946,EDA概念
98,BK1100,减速器
99,BK0882,猪肉概念
100,BK0977,碳化硅
101,BK0887,鸡肉概念
102,BK0916,氮化镓
103,BK1106,创新药
104,BK0892,乳业
105,BK0981,工业气体
106,BK0501,次新股
107,BK0668,医疗器械概念
108,BK0899,CRO
109,BK1005,专精特新
110,BK1089,汽车热管理
111,BK1102,空气能热泵
112,BK0680,智能家居
113,BK0856,工业大麻
114,BK0970,生物识别
115,BK0993,宠物经济
116,BK0896,白酒
117,BK0554,物联网
118,BK0963,航天概念
119,BK0866,人造肉
120,BK0690,氟化工
121,BK0614,食品安全
122,BK0974,化妆品概念
123,BK1025,预制菜概念
124,BK0961,有机硅
125,BK0714,5G概念
126,BK0814,大飞机
127,BK0704,无人机
128,BK1138,液冷概念
129,BK0837,互联医疗
130,BK0810,工业4.0
131,BK1090,机器人概念
132,BK0889,医疗美容
133,BK0617,石墨烯
134,BK0722,虚拟现实
135,BK0703,超级电容
136,BK0629,北斗导航
137,BK1026,调味品概念
138,BK0556,移动支付
139,BK0574,锂电池
140,BK0523,新材料
141,BK0888,农业种植
142,BK1086,粮食概念
143,BK0900,新能源车
144,BK0968,固态电池
145,BK0994,空间站概念
146,BK1010,磷化工
147,BK0967,水产养殖
148,BK0909,降解塑料
149,BK1006,碳基材料
150,BK0941,疫苗冷链
151,BK0512,化工原料
152,BK0832,工业互联
153,BK1004,工业母机
154,BK1002,激光雷达
155,BK0619,3D打印
156,BK0920,车联网
157,BK0490,军工
158,BK0852,冷链物流
159,BK0801,增强现实
160,BK0982,电子车牌
161,BK0667,国家安防
162,BK0578,稀土永磁
163,BK0985,换电概念
164,BK0808,军民融合
165,BK0912,远程办公
166,BK0988,钠离子电池
167,BK0700,充电桩
168,BK0802,无人驾驶
169,BK1097,TOPCon电池
170,BK0800,人工智能
171,BK1052,动力电池回收
172,BK0581,智能电网
173,BK0825,新零售
174,BK0710,量子通信
175,BK0588,太阳能
176,BK0805,钛白粉
177,BK0908,HIT电池
178,BK0682,燃料电池
179,BK0864,氢能源
180,BK0665,电商概念
181,BK0625,通用航空
182,BK0924,地摊经济
183,BK0989,储能
184,BK0695,小金属概念
185,BK0655,网络安全
186,BK0579,云计算
187,BK0606,油气设服
188,BK0634,大数据
189,BK0493,新能源
190,BK1023,培育钻石
191,BK0696,国产软件
192,BK0883,数字货币
193,BK0886,智慧政务
194,BK0592,铁路基建
195,BK1094,钙钛矿电池
196,BK0927,免税概念
197,BK0603,页岩气
198,BK1095,钒电池
199,BK0918,特高压
200,BK1009,元宇宙概念
201,BK1104,信创
202,BK0519,稀缺资源
203,BK0975,磁悬浮概念
204,BK1129,数字水印
205,BK1109,供销社概念
206,BK0978,光伏建筑一体化
207,BK0987,盐湖提锂
208,BK1133,ERP概念
209,BK1047,数据安全
210,BK0991,工程机械概念
211,BK0830,区块链
212,BK0966,碳交易
213,BK0843,天然气
214,BK0492,煤化工
215,BK0597,水利建设
216,BK0595,风能
217,BK0632,土地流转
218,BK1130,时空大数据
219,BK1134,算力概念
220,BK1061,数字经济
221,BK1003,抽水蓄能
222,BK1064,东数西算
223,BK1008,国资云概念
224,BK0601,海工装备
225,BK1024,绿色电力
226,BK0945,装配建筑
227,BK0637,互联金融
228,BK1135,数据要素
229,BK1139,中特估
230,BK0662,在线教育
231,BK0903,云游戏
232,BK0711,券商概念
233,BK0505,中字头
234,BK1110,Web3.0
235,BK0847,影视概念
236,BK1136,光通信模块
